"year","session","Location","tot_net_hours","time_cts","N"
2006,"PRIMERA","LLAV",256.3,0.333333333333333,45
2006,"PRIMERA","MAIN",326.6,0.333333333333333,65
2006,"PRIMERA","MASE",300.9,0.333333333333333,49
2006,"SEGUNDA","LLAV",291.6,0.666666666666667,135
2006,"SEGUNDA","MAIN",245.2,0.666666666666667,56
2006,"SEGUNDA","MASE",288.4,0.666666666666667,48
2006,"TERCERA","LLAV",282,1,99
2006,"TERCERA","MAIN",160,1,25
2006,"TERCERA","MASE",220,1,25
2007,"PRIMERA","LLAV",311,1.33333333333333,125
2007,"PRIMERA","MAIN",237.5,1.33333333333333,46
2007,"PRIMERA","MASE",281.6,1.33333333333333,38
2007,"SEGUNDA","LLAV",256.6,1.66666666666667,107
2007,"SEGUNDA","MAIN",233.4,1.66666666666667,35
2007,"SEGUNDA","MASE",293.4,1.66666666666667,41
2007,"TERCERA","LLAV",320,2,73
2007,"TERCERA","MAIN",251.6,2,35
2007,"TERCERA","MASE",300,2,15
2008,"PRIMERA","LLAV",90.75,2.33333333333333,45
2008,"PRIMERA","MAIN",269.5,2.33333333333333,58
2008,"PRIMERA","MASE",216.5,2.33333333333333,16
2008,"SEGUNDA","LLAV",210,2.66666666666667,87
2008,"SEGUNDA","MAIN",320,2.66666666666667,38
2008,"SEGUNDA","MASE",300,2.66666666666667,37
2008,"TERCERA","LLAV",248.5,3,34
2008,"TERCERA","MAIN",320,3,45
2008,"TERCERA","MASE",320,3,23
2009,"PRIMERA","LLAV",242,3.33333333333333,45
2009,"PRIMERA","MAIN",180,3.33333333333333,20
2009,"PRIMERA","MASE",210,3.33333333333333,25
2009,"SEGUNDA","LLAV",194,3.66666666666667,49
2009,"SEGUNDA","MAIN",320,3.66666666666667,42
2009,"SEGUNDA","MASE",320,3.66666666666667,30
2009,"TERCERA","LLAV",265,4,59
2009,"TERCERA","MAIN",302,4,48
2009,"TERCERA","MASE",300,4,28
2010,"PRIMERA","LLAV",248,4.33333333333333,39
2010,"PRIMERA","MAIN",284.5,4.33333333333333,37
2010,"PRIMERA","MASE",228,4.33333333333333,18
2010,"SEGUNDA","LLAV",241,4.66666666666667,106
2010,"SEGUNDA","MAIN",210,4.66666666666667,49
2010,"SEGUNDA","MASE",285,4.66666666666667,33
2010,"TERCERA","LLAV",191,5,66
2010,"TERCERA","MAIN",180,5,15
2010,"TERCERA","MASE",196.5,5,14
2011,"PRIMERA","LLAV",266.5,5.33333333333333,73
2011,"PRIMERA","MAIN",270,5.33333333333333,46
2011,"PRIMERA","MASE",320,5.33333333333333,37
2011,"SEGUNDA","LLAV",230,5.66666666666667,107
2011,"SEGUNDA","MAIN",279.5,5.66666666666667,48
2011,"SEGUNDA","MASE",250,5.66666666666667,17
2011,"TERCERA","LLAV",198.5,6,53
2011,"TERCERA","MAIN",290,6,38
2011,"TERCERA","MASE",180,6,20
2012,"PRIMERA","LLAV",175,6.33333333333333,37
2012,"PRIMERA","MAIN",220,6.33333333333333,54
2012,"PRIMERA","MASE",262.5,6.33333333333333,32
2012,"SEGUNDA","LLAV",83.5,6.66666666666667,66
2012,"SEGUNDA","MAIN",400,6.66666666666667,43
2012,"SEGUNDA","MASE",337.5,6.66666666666667,33
2012,"TERCERA","LLAV",206,7,67
2012,"TERCERA","MAIN",269,7,45
2012,"TERCERA","MASE",348,7,27
2013,"TERCERA","MAIN",190,11,32
2013,"TERCERA","MASE",350,11,26
2014,"PRIMERA","LLAV",271.5,7.33333333333333,65
2014,"PRIMERA","MAIN",288.5,7.33333333333333,44
2014,"PRIMERA","MASE",234.5,7.33333333333333,21
2014,"TERCERA","LLAV",438,8,69
2014,"TERCERA","MAIN",310,8,35
2014,"TERCERA","MASE",260,8,21
2015,"PRIMERA","LLAV",296.5,8.33333333333333,64
2015,"PRIMERA","MAIN",195,8.33333333333333,21
2015,"PRIMERA","MASE",350,8.33333333333333,18
2015,"SEGUNDA","LLAV",255,8.66666666666667,97
2015,"SEGUNDA","MAIN",242.5,8.66666666666667,37
2015,"SEGUNDA","MASE",350,8.66666666666667,34
2015,"TERCERA","LLAV",300,9,39
2015,"TERCERA","MAIN",290,9,26
2015,"TERCERA","MASE",323.5,9,21
2016,"SEGUNDA","LLAV",110,9.66666666666667,51
2016,"SEGUNDA","MAIN",190,9.66666666666667,29
2016,"SEGUNDA","MASE",225,9.66666666666667,32
2016,"TERCERA","LLAV",200,10,63
2016,"TERCERA","MAIN",170,10,17
2016,"TERCERA","MASE",207.16999817,10,28
